;Agree;Neither;Disagree;No answer;DK;(N)
TOTAL;38,8;18,6;40,9;0,3;1,4;89,565
Algeria;58;19,3;19,4;3,2;0;1,2
Azerbaijan;78,6;12,5;8,9;0;0;1,002
Argentina;15;16,4;67,1;0,3;1,2;1,03
Australia;6,9;19;73;1,1;0;1,477
Armenia;56,2;10,1;33,6;0;0,2;1,1
Brazil;16,8;10;72,6;0;0,7;1,486
Belarus;27,6;20,9;45,7;1;4,8;1,535
Chile;17,6;23,6;57,2;0;1,6;1
China;38;18,5;37,5;2,1;3,9;2,3
Taiwan;41;10,1;46,4;0;2,5;1,238
Colombia;22,4;12,4;64,9;0,1;0,1;1,512
Cyprus;26,5;21,1;52,4;0;0;1
Ecuador;21,7;22,2;56;0;0,1;1,202
Estonia;17,6;22,5;57,9;0,1;2;1,533
Georgia;46;9,7;44,1;0;0,2;1,202
Palestine;65,5;11,6;21,8;0;1,1;1
Germany;15,5;23,6;60,2;0;0,7;2,046
Ghana;49,3;6,7;44;0;0;1,552
Haiti;38,7;24,3;36,5;0,1;0,2;1,996
Hong Kong;27,7;31;41,1;0,2;0;1
India;52,4;17,1;22,6;0;7,9;4,078
Iraq;65,2;17;17,2;0;0,6;1,2
Japan;30;49;14,3;0;6,7;2,443
Kazakhstan;45,3;27,2;27,5;0;0;1,5
Jordan;80,6;6,3;13,1;0;0;1,2
South Korea;32,2;44,8;22,6;0,4;0;1,2
Kuwait;62;17,8;18,3;0,8;1,1;1,303
Kyrgyzstan;45,8;29,6;24,5;0,1;0;1,5
Lebanon;40,8;22;36,2;0;1,1;1,2
Libya;68,7;14;16,4;0,2;0,7;2,131
Malaysia;56,5;25,8;17,8;0;0;1,3
Mexico;16,8;12,5;70,6;0;0,2;2
Morocco;60,6;5,5;31,1;1,1;1,8;1,2
Netherlands;7,4;16,2;72,3;0,2;3,9;1,902
New Zealand;7;14,9;75,9;1,4;0,8;841
Nigeria;65,9;14,4;19,6;0;0;1,759
Pakistan;74,6;5,3;19,8;0;0,3;1,2
Peru;17,6;16,1;63,4;1,1;1,9;1,21
Philippines;59,2;20,8;19,8;0,1;0;1,2
Poland;26,1;16,5;55,6;0;1,9;966
Qatar;69,4;8;22,6;0;0;1,06
Romania;39,8;22,8;34,9;0,2;2,2;1,503
Russia;28,3;30,1;38,8;0,2;2,6;2,5
Rwanda;42,3;22,7;35;0;0;1,527
Singapore;30,1;34,3;35,5;0;0;1,972
Slovenia;9,8;12;77,5;0;0,7;1,069
South Africa;30;21,9;47,2;0;0,8;3,531
Zimbabwe;32,9;11,2;56;0;0;1,499
Spain;12;5,3;79,7;0,8;2,1;1,189
Sweden;2;4,5;93,1;0,3;0,2;1,206
Thailand;30,7;29,2;39,5;0,5;0;1,2
Trinidad and Tobago;27,1;10,3;61,4;0;1,2;999
Tunisia;71,1;9;17,2;0;2,7;1,205
Turkey;59,4;16,6;23,1;0,1;0,7;1,605
Ukraine;29,5;19,6;45,5;2;3,3;1,5
Egypt;83,4;5,7;11;0;0;1,523
United States;5,7;24,1;69,3;0,9;0;2,232
Uruguay;26,2;5,7;66,3;0,1;1,7;1
Uzbekistan;59,1;12,4;26,7;1,9;0;1,5
Yemen;75,4;8,2;14,1;0;2,3;1